Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Legal Department|Group B|Part Time|Married|64|Los Angeles|03/16/2016|Non Active|11|20|1 Year|2 Years|College|High|Medium|Excellent|Medium|Bad|Sweet|Male|105276|Blue Collar
Quality Assurance|Group A|Full Time|Single|50|New York City|08/03/2018|Active|11|17|1 Year|2 Years|Doctor|Very High|Very High|Outstanding|Low|Bad|Sheppard|Female|72084|Other
Payroll|Group D|Full Time|Married|50|Los Angeles|07/06/2015|Non Active|2|19|3 Years|3 Years|Masters|Low|Medium|Outstanding|Medium|Best|Mcdowell|Female|90334|Blue Collar
Customer Service|Group A|Full Time|Single|47|New York City|06/21/2017|Active|2|20|1 Year|1 Year|Bachelor|High|Medium|Good|High|Good|Buckner|Male|111478|Blue Collar
Quality Assurance|Group A|Part Time|Married|51|Seattle|05/13/2018|Non Active|12|19|1 Year|1 Year|Doctor|High|Low|Low|Medium|Best|Conley|Male|79895|White Collar
Tech Support|Group B|Full Time|Married|63|New York City|12/08/2014|Non Active|1|13|3 Years|3 Years|Masters|Medium|Low|Outstanding|Very High|Best|Cantrell|Female|108532|Other
Finances|Group B|Part Time|Divorced|51|Los Angeles|06/02/2014|Active|9|7|1 Year|2 Years|College|Medium|Medium|Outstanding|Low|Better|Kirkland|Male|109250|Blue Collar
Tech Support|Group A|Full Time|Married|52|Houston|09/14/2013|Active|3|16|2 Years|2 Years|Masters|Medium|Medium|Excellent|Very High|Bad|Lynch|Female|82466|Other
Customer Service|Group A|Full Time|Divorced|42|Los Angeles|08/18/2013|Active|2|11|1 Year|3 Years|Bachelor|Low|High|Excellent|Very High|Best|Burnett|Female|117574|White Collar
Public Relations|Group D|Full Time|Divorced|29|New York City|02/02/2018|Active|11|11|1 Year|1 Year|College|Low|High|Excellent|High|Good|Velasquez|Male|89450|White Collar
Payroll|Group A|Part Time|Single|29|New York City|02/14/2014|Non Active|9|11|3 Years|3 Years|Masters|Low|Very High|Outstanding|Medium|Good|Boyd|Male|105775|White Collar
Human Resources|Group C|Full Time|Divorced|42|Seattle|08/18/2017|Active|5|19|1 Year|1 Year|Bachelor|Very High|Low|Good|High|Bad|Patrick|Male|81213|White Collar
Media Relations|Group A|Full Time|Single|52|Houston|02/04/2018|Non Active|3|10|2 Years|3 Years|Bachelor|Very High|High|Outstanding|High|Bad|Stokes|Male|105696|White Collar
Media Relations|Group B|Full Time|Single|55|Houston|09/08/2014|Non Active|3|17|1 Year|2 Years|Bachelor|High|Low|Low|Low|Good|Hardin|Female|83005|White Collar
Legal Department|Group B|Part Time|Divorced|42|Houston|11/02/2013|Non Active|4|18|2 Years|2 Years|College|Low|Low|Outstanding|Very High|Bad|Larsen|Male|101729|Other
Legal Department|Group B|Full Time|Married|60|New York City|03/27/2017|Non Active|4|13|3 Years|1 Year|College|Medium|Low|Low|Very High|Better|Blackwell|Female|111820|Other
Customer Relations|Group D|Part Time|Divorced|64|New York City|05/22/2016|Non Active|3|9|2 Years|3 Years|Masters|Low|Low|Low|Very High|Bad|Reynolds|Female|102915|Blue Collar
Research and Development|Group D|Part Time|Married|35|Houston|09/09/2013|Non Active|3|20|1 Year|3 Years|Doctor|Low|High|Outstanding|Low|Best|Summers|Female|118708|White Collar
Asset Management|Group B|Full Time|Married|37|Los Angeles|07/07/2013|Non Active|2|8|3 Years|1 Year|College|Very High|Very High|Good|Medium|Best|Delgado|Female|110330|Other
Media Relations|Group A|Full Time|Single|45|Houston|12/12/2016|Non Active|2|17|3 Years|3 Years|Bachelor|Very High|Low|Outstanding|Very High|Bad|White|Male|72042|Blue Collar
Quality Assurance|Group B|Part Time|Married|43|Seattle|12/19/2017|Active|3|17|1 Year|3 Years|Bachelor|Low|High|Low|Very High|Good|Hatfield|Male|103377|Other
Payroll|Group D|Full Time|Single|63|Los Angeles|06/17/2016|Non Active|5|14|3 Years|3 Years|Bachelor|High|Medium|Good|Very High|Good|Humphrey|Female|82684|White Collar
Asset Management|Group B|Full Time|Married|40|Los Angeles|10/29/2018|Active|2|9|1 Year|1 Year|Masters|High|Medium|Good|High|Bad|Elliott|Male|81940|White Collar
Finances|Group B|Part Time|Divorced|35|Los Angeles|07/19/2017|Active|1|8|2 Years|3 Years|Doctor|High|Very High|Outstanding|Low|Good|Hewitt|Male|87649|White Collar
Human Resources|Group C|Part Time|Divorced|49|Los Angeles|10/24/2017|Non Active|4|12|1 Year|3 Years|Masters|Low|Very High|Low|Medium|Best|Mcdaniel|Female|87085|White Collar
Quality Assurance|Group A|Part Time|Married|63|Los Angeles|12/07/2017|Non Active|2|19|1 Year|2 Years|Doctor|Medium|High|Outstanding|Low|Good|Mcmahon|Female|80011|White Collar
Advertising|Group A|Full Time|Divorced|47|Los Angeles|02/04/2015|Non Active|2|20|2 Years|1 Year|College|Very High|Low|Excellent|Medium|Bad|Oliver|Male|81146|Other
Finances|Group C|Full Time|Single|29|Houston|05/26/2014|Active|4|5|2 Years|1 Year|College|Low|Very High|Excellent|Low|Good|Baxter|Female|111638|White Collar
Research and Development|Group C|Part Time|Married|48|Seattle|03/31/2016|Non Active|10|17|2 Years|3 Years|Doctor|Medium|Medium|Outstanding|Low|Bad|Raymond|Female|87329|White Collar
Legal Department|Group A|Full Time|Single|35|Seattle|06/10/2018|Non Active|1|9|2 Years|1 Year|College|High|Very High|Low|Low|Good|Kane|Female|88631|White Collar
Advertising|Group B|Full Time|Married|54|Houston|10/08/2017|Non Active|4|11|2 Years|2 Years|Bachelor|Medium|Low|Low|Medium|Better|Suarez|Female|102962|White Collar
Payroll|Group B|Full Time|Divorced|60|Los Angeles|12/11/2013|Active|6|7|2 Years|2 Years|Bachelor|High|Low|Low|Low|Bad|Simon|Male|111057|Blue Collar
Media Relations|Group A|Part Time|Divorced|29|New York City|02/09/2014|Active|9|14|3 Years|2 Years|College|Very High|Very High|Excellent|Very High|Best|Mcfarland|Female|115400|White Collar
Sales and Marketing|Group C|Full Time|Divorced|24|New York City|04/13/2013|Non Active|10|15|2 Years|1 Year|Doctor|Very High|Very High|Low|High|Best|Bradley|Male|111852|Blue Collar
Payroll|Group A|Full Time|Single|39|Los Angeles|08/09/2016|Active|10|5|3 Years|1 Year|Masters|High|Very High|Excellent|Very High|Good|Howard|Male|79978|White Collar
Advertising|Group A|Full Time|Divorced|52|Los Angeles|10/31/2016|Active|4|5|3 Years|1 Year|Masters|High|Very High|Outstanding|Medium|Better|Klein|Female|117339|Blue Collar
Customer Service|Group B|Full Time|Divorced|43|Seattle|05/23/2014|Active|8|6|2 Years|3 Years|Bachelor|High|Medium|Excellent|Low|Better|Baldwin|Female|74791|White Collar
Human Resources|Group C|Full Time|Single|40|New York City|03/13/2015|Active|5|9|3 Years|3 Years|Bachelor|High|Low|Good|Medium|Best|Bates|Female|84247|White Collar
Advertising|Group C|Part Time|Single|55|Houston|10/21/2013|Active|3|10|3 Years|1 Year|Masters|Low|Medium|Good|Low|Better|Griffin|Female|102033|Blue Collar
Accounting|Group C|Part Time|Married|46|Seattle|10/27/2015|Active|5|13|3 Years|3 Years|Masters|Very High|Very High|Excellent|High|Best|Miller|Male|109835|White Collar
Payroll|Group A|Part Time|Single|64|Los Angeles|10/03/2013|Non Active|10|13|3 Years|2 Years|Doctor|Medium|High|Outstanding|High|Better|Macias|Male|105912|Blue Collar
Quality Assurance|Group A|Full Time|Married|61|Seattle|11/09/2014|Non Active|5|16|2 Years|3 Years|Bachelor|High|High|Excellent|High|Bad|Benton|Male|115208|Other
Asset Management|Group A|Full Time|Divorced|46|Seattle|01/15/2017|Non Active|8|11|3 Years|2 Years|Bachelor|High|Medium|Good|Low|Good|Conway|Male|94224|Blue Collar
Legal Department|Group B|Part Time|Divorced|36|Houston|07/04/2018|Active|6|12|3 Years|3 Years|College|Very High|Low|Low|Low|Best|Duke|Male|96491|Other
Public Relations|Group C|Part Time|Single|58|New York City|08/10/2016|Non Active|3|17|2 Years|3 Years|Doctor|Very High|Low|Excellent|Medium|Best|Shepard|Male|77347|Other
Quality Assurance|Group D|Part Time|Married|30|New York City|06/19/2015|Active|7|20|2 Years|3 Years|Bachelor|Very High|Medium|Outstanding|Very High|Best|Workman|Female|82877|White Collar
Public Relations|Group D|Full Time|Divorced|24|Houston|10/07/2016|Non Active|5|17|1 Year|3 Years|Doctor|High|Very High|Good|Very High|Bad|Bridges|Female|93012|White Collar
Tech Support|Group A|Part Time|Married|65|Los Angeles|10/12/2015|Active|6|20|3 Years|2 Years|College|Low|Very High|Good|Low|Better|Mclean|Male|74606|Other
Payroll|Group A|Part Time|Divorced|59|New York City|06/10/2013|Non Active|8|12|3 Years|1 Year|Doctor|Very High|Low|Good|Very High|Better|Webb|Female|85473|White Collar
Quality Assurance|Group D|Part Time|Married|62|Seattle|12/10/2014|Active|5|9|3 Years|3 Years|Masters|Very High|Very High|Excellent|High|Better|Dickerson|Male|114375|Blue Collar
Tech Support|Group C|Part Time|Divorced|54|Los Angeles|08/24/2016|Active|11|18|2 Years|3 Years|Doctor|Medium|Very High|Good|Very High|Better|Andrews|Male|94079|Other
Accounting|Group A|Full Time|Married|59|Los Angeles|05/29/2013|Active|6|5|1 Year|3 Years|Bachelor|High|Medium|Low|Low|Best|Henry|Male|95306|Blue Collar
Customer Service|Group A|Full Time|Single|47|Seattle|01/27/2016|Active|6|5|2 Years|2 Years|College|Medium|Medium|Good|Very High|Good|Juarez|Male|102530|Blue Collar
Sales and Marketing|Group B|Full Time|Divorced|28|Los Angeles|09/17/2017|Non Active|5|8|1 Year|1 Year|Masters|Medium|Very High|Good|Medium|Better|Greer|Male|77513|Blue Collar
Public Relations|Group D|Part Time|Single|29|Los Angeles|12/17/2016|Active|6|15|1 Year|3 Years|College|Medium|Medium|Excellent|Medium|Best|Hutchinson|Female|72819|Other
Customer Service|Group B|Full Time|Divorced|24|New York City|05/07/2013|Non Active|6|9|1 Year|1 Year|Bachelor|Low|Low|Outstanding|High|Bad|Chen|Female|105216|Other
Finances|Group B|Part Time|Married|59|Houston|08/01/2014|Non Active|8|11|3 Years|3 Years|Masters|High|Low|Outstanding|High|Good|Guthrie|Female|112574|Blue Collar
Finances|Group C|Part Time|Married|41|Seattle|02/27/2013|Active|12|13|2 Years|1 Year|Doctor|Low|High|Good|Low|Good|Gomez|Male|113623|White Collar
Public Relations|Group D|Full Time|Divorced|30|Houston|10/30/2014|Non Active|8|14|3 Years|3 Years|Bachelor|Very High|High|Low|High|Better|Pope|Male|73722|Other
Research and Development|Group B|Part Time|Divorced|64|New York City|02/24/2018|Non Active|11|15|3 Years|3 Years|College|Medium|High|Low|Very High|Bad|Marsh|Male|73269|White Collar
Legal Department|Group C|Part Time|Married|24|New York City|09/29/2017|Non Active|7|7|1 Year|2 Years|College|High|High|Low|Low|Bad|Church|Female|83148|Blue Collar
Quality Assurance|Group C|Part Time|Single|56|Houston|09/21/2013|Non Active|7|15|3 Years|2 Years|College|Medium|Medium|Low|Medium|Best|Mason|Female|72947|Blue Collar
Public Relations|Group B|Full Time|Married|24|Houston|08/10/2016|Non Active|5|8|2 Years|3 Years|Masters|Medium|Low|Outstanding|Very High|Best|Melendez|Female|98418|Blue Collar
Public Relations|Group D|Full Time|Married|30|New York City|08/01/2016|Non Active|11|9|1 Year|1 Year|College|Very High|Low|Low|High|Good|Edwards|Male|92535|Other
Quality Assurance|Group A|Part Time|Married|34|Seattle|10/28/2018|Active|5|11|3 Years|1 Year|College|Low|Low|Excellent|Medium|Better|Hoover|Male|115624|Other
Quality Assurance|Group D|Part Time|Married|35|Houston|04/11/2015|Active|9|8|1 Year|1 Year|Bachelor|Medium|High|Outstanding|Medium|Good|Hall|Male|108829|White Collar
Sales and Marketing|Group D|Part Time|Single|39|Los Angeles|12/28/2016|Non Active|1|19|2 Years|3 Years|Masters|Very High|Very High|Low|Low|Better|Schultz|Male|71602|Other
Quality Assurance|Group C|Part Time|Divorced|24|New York City|10/16/2018|Active|4|7|3 Years|3 Years|Doctor|Medium|Very High|Excellent|Very High|Bad|Solomon|Female|103524|White Collar
Research and Development|Group D|Part Time|Divorced|27|Seattle|01/06/2014|Non Active|3|11|1 Year|3 Years|Bachelor|Low|Low|Outstanding|Medium|Best|Avila|Male|111232|Other
Accounting|Group C|Part Time|Divorced|52|New York City|09/11/2017|Non Active|5|10|1 Year|3 Years|College|Low|Medium|Low|Medium|Bad|Goff|Female|82966|Blue Collar
Customer Relations|Group A|Full Time|Divorced|62|Houston|10/17/2014|Non Active|5|19|1 Year|3 Years|Doctor|Medium|Low|Low|Medium|Best|Holt|Female|73446|Blue Collar
Research and Development|Group A|Full Time|Married|46|Houston|10/27/2016|Active|8|7|3 Years|3 Years|Bachelor|Very High|Medium|Outstanding|Medium|Better|Finley|Female|90693|Blue Collar
Legal Department|Group B|Part Time|Married|25|Houston|07/09/2014|Non Active|3|17|1 Year|2 Years|Masters|Very High|Medium|Good|Medium|Best|Huber|Male|115476|Blue Collar
Finances|Group A|Part Time|Single|32|New York City|07/10/2013|Active|7|16|3 Years|3 Years|Doctor|Medium|Medium|Outstanding|Very High|Bad|Estrada|Male|89206|Other
Sales and Marketing|Group A|Part Time|Married|51|Seattle|10/09/2017|Active|9|17|3 Years|3 Years|Masters|Low|Medium|Good|High|Good|Poole|Male|115696|White Collar
Accounting|Group B|Full Time|Married|61|Seattle|10/22/2014|Non Active|2|14|2 Years|3 Years|Doctor|High|High|Low|Medium|Best|Bowen|Female|118421|White Collar
Human Resources|Group D|Full Time|Married|57|Houston|05/06/2013|Non Active|9|8|2 Years|2 Years|College|Very High|High|Low|Medium|Better|Cobb|Male|80460|Other
Media Relations|Group A|Part Time|Married|30|New York City|05/08/2018|Active|7|20|2 Years|2 Years|Doctor|Very High|Medium|Outstanding|High|Bad|Holt|Male|84377|Blue Collar
Payroll|Group A|Full Time|Divorced|29|Seattle|01/22/2014|Active|7|20|1 Year|1 Year|Masters|Medium|Medium|Excellent|Low|Bad|Meyers|Male|71830|Other
Research and Development|Group B|Full Time|Divorced|44|Los Angeles|07/29/2017|Active|6|14|2 Years|3 Years|Doctor|Low|Medium|Outstanding|High|Better|Howell|Male|87329|White Collar
Tech Support|Group A|Part Time|Married|39|New York City|06/12/2017|Non Active|3|17|3 Years|1 Year|College|High|Very High|Excellent|Medium|Bad|Mccall|Male|103721|White Collar
Customer Service|Group D|Full Time|Married|41|Seattle|04/14/2017|Non Active|5|13|3 Years|1 Year|College|High|Very High|Low|Very High|Good|Aguirre|Male|92596|Blue Collar
Media Relations|Group C|Part Time|Single|28|Houston|05/14/2017|Active|7|5|3 Years|3 Years|Bachelor|Medium|Very High|Good|Medium|Good|Dillard|Female|114331|Other
Finances|Group D|Full Time|Married|32|New York City|04/21/2013|Non Active|7|17|3 Years|1 Year|Doctor|High|Very High|Low|Low|Best|Knapp|Female|111205|Other
Public Relations|Group B|Part Time|Married|61|Los Angeles|06/20/2015|Non Active|5|16|1 Year|3 Years|College|Medium|Very High|Good|Low|Good|Head|Male|71467|Other
Human Resources|Group C|Part Time|Married|39|New York City|04/22/2013|Non Active|8|5|3 Years|2 Years|Masters|Low|High|Excellent|Very High|Best|Golden|Female|82199|Other
Payroll|Group B|Part Time|Married|48|Los Angeles|10/03/2015|Non Active|6|7|3 Years|1 Year|Doctor|Low|High|Good|Very High|Bad|Guerrero|Male|80025|Blue Collar
Legal Department|Group B|Part Time|Married|53|Houston|07/16/2016|Active|1|11|2 Years|2 Years|Bachelor|Very High|Very High|Good|Very High|Better|Alvarez|Male|83057|Other
Customer Relations|Group B|Full Time|Divorced|46|Houston|09/26/2016|Active|5|7|2 Years|2 Years|Bachelor|High|Medium|Good|Medium|Bad|Cotton|Female|81641|Blue Collar
Research and Development|Group B|Full Time|Divorced|28|Houston|12/21/2017|Non Active|12|7|2 Years|3 Years|Bachelor|Very High|High|Low|Medium|Best|Cruz|Male|109525|Other
Advertising|Group A|Full Time|Divorced|45|New York City|12/31/2015|Active|1|20|2 Years|3 Years|College|High|Medium|Good|Medium|Better|Vazquez|Female|118330|White Collar
Research and Development|Group C|Part Time|Single|42|New York City|12/27/2014|Active|7|11|2 Years|1 Year|Doctor|Very High|Very High|Outstanding|Very High|Good|Harvey|Male|73121|Blue Collar
Accounting|Group C|Full Time|Married|43|Houston|12/10/2016|Active|8|18|2 Years|3 Years|Masters|High|Medium|Good|Very High|Best|Potter|Male|74711|Other
Advertising|Group A|Full Time|Divorced|63|Seattle|07/21/2013|Active|11|6|3 Years|2 Years|College|Low|High|Good|Medium|Best|Kirby|Male|93471|White Collar
Finances|Group A|Full Time|Married|55|Seattle|02/11/2014|Non Active|5|6|3 Years|1 Year|Doctor|Medium|Medium|Excellent|Medium|Bad|Lambert|Male|91310|Other
Finances|Group C|Part Time|Single|63|New York City|06/10/2017|Non Active|3|9|1 Year|2 Years|Masters|High|Low|Low|Very High|Better|Bright|Male|111492|Blue Collar
Legal Department|Group A|Part Time|Single|52|Seattle|03/25/2017|Active|12|7|1 Year|2 Years|Doctor|Very High|High|Excellent|Very High|Best|Wall|Male|76507|White Collar
Human Resources|Group D|Full Time|Single|65|Houston|09/25/2017|Non Active|7|17|1 Year|3 Years|Bachelor|Medium|Medium|Good|Medium|Best|Stuart|Male|111234|Other
Public Relations|Group B|Full Time|Divorced|47|Houston|04/16/2017|Non Active|3|19|2 Years|2 Years|Bachelor|Medium|High|Excellent|Low|Bad|Conner|Female|77226|White Collar
Media Relations|Group B|Part Time|Married|41|Houston|07/26/2015|Non Active|1|7|3 Years|2 Years|Doctor|Medium|Medium|Excellent|High|Best|Everett|Male|74131|White Collar
Public Relations|Group C|Full Time|Married|29|Los Angeles|10/15/2014|Non Active|1|5|1 Year|3 Years|Masters|High|Very High|Excellent|Low|Bad|Medina|Female|85292|Other
Asset Management|Group B|Full Time|Single|55|Los Angeles|11/06/2018|Non Active|7|12|3 Years|2 Years|Doctor|Very High|High|Good|Medium|Good|Robertson|Female|104721|White Collar
Advertising|Group D|Full Time|Single|32|Seattle|09/13/2018|Non Active|5|11|1 Year|3 Years|Masters|Very High|High|Good|Medium|Best|Chaney|Male|118416|Blue Collar
Asset Management|Group A|Full Time|Divorced|58|Los Angeles|05/08/2014|Active|3|12|1 Year|3 Years|Masters|Medium|High|Good|Very High|Bad|Mcdaniel|Male|78752|Other
Tech Support|Group B|Part Time|Married|51|Los Angeles|12/04/2018|Active|5|6|2 Years|2 Years|Doctor|Low|High|Good|Medium|Best|Stewart|Male|70858|White Collar
Quality Assurance|Group A|Full Time|Married|63|Houston|01/24/2016|Active|12|14|2 Years|1 Year|College|Medium|High|Good|Low|Good|Phillips|Female|81796|Other
Finances|Group D|Part Time|Single|60|Houston|06/05/2015|Active|7|11|3 Years|2 Years|Masters|High|High|Low|Very High|Good|Spears|Female|74589|Blue Collar
Tech Support|Group B|Full Time|Single|25|Seattle|07/29/2015|Non Active|10|13|3 Years|1 Year|Doctor|Medium|Low|Good|Low|Better|Branch|Male|102493|Blue Collar
Advertising|Group B|Part Time|Divorced|32|Houston|05/21/2016|Non Active|11|20|3 Years|3 Years|College|Low|High|Good|Very High|Good|Yates|Female|117874|Other
Research and Development|Group D|Part Time|Divorced|27|Seattle|05/22/2014|Active|9|18|2 Years|1 Year|Bachelor|Low|Low|Good|Very High|Best|Williams|Female|119541|Other
Research and Development|Group D|Part Time|Divorced|30|New York City|03/05/2018|Active|11|7|2 Years|3 Years|Masters|Low|Medium|Excellent|Low|Best|Holland|Male|115163|Blue Collar
Customer Service|Group C|Part Time|Married|33|Houston|08/20/2018|Active|5|19|1 Year|2 Years|Masters|High|Low|Good|Very High|Bad|Ferrell|Female|82769|White Collar
Sales and Marketing|Group A|Part Time|Married|31|Houston|03/06/2017|Non Active|1|20|1 Year|1 Year|Doctor|Medium|High|Low|Medium|Best|Bender|Female|103021|Other
Legal Department|Group D|Full Time|Married|40|Houston|10/29/2018|Non Active|2|20|3 Years|2 Years|Doctor|Medium|High|Low|Medium|Best|Stanley|Male|93840|Blue Collar
Finances|Group C|Part Time|Divorced|40|New York City|08/16/2016|Non Active|10|7|1 Year|1 Year|Masters|High|Medium|Good|Medium|Good|Kane|Female|81611|White Collar
Sales and Marketing|Group A|Full Time|Married|49|Seattle|05/06/2018|Active|11|18|3 Years|2 Years|Doctor|High|Very High|Good|High|Good|Grant|Male|105810|Blue Collar
Legal Department|Group B|Part Time|Single|47|Los Angeles|09/24/2015|Non Active|12|15|2 Years|3 Years|College|High|High|Good|Very High|Good|Sweet|Female|111868|Blue Collar
Research and Development|Group D|Full Time|Divorced|26|New York City|01/02/2013|Non Active|12|17|2 Years|2 Years|Masters|Very High|High|Excellent|Medium|Bad|Coleman|Female|93671|Other
Tech Support|Group A|Part Time|Single|37|Los Angeles|09/01/2015|Active|11|13|2 Years|2 Years|Masters|Low|Very High|Excellent|Medium|Bad|Kinney|Male|90059|Other
Advertising|Group B|Part Time|Single|38|Houston|11/12/2013|Non Active|4|7|2 Years|2 Years|Bachelor|Very High|Medium|Low|Low|Good|Valenzuela|Female|101283|White Collar
Advertising|Group D|Full Time|Married|54|Houston|08/23/2017|Non Active|9|9|3 Years|2 Years|Bachelor|Very High|Low|Outstanding|Very High|Bad|Mcmillan|Male|85626|Other
Tech Support|Group A|Full Time|Married|31|New York City|08/04/2017|Non Active|3|18|1 Year|2 Years|Bachelor|Very High|Very High|Low|Low|Bad|Garner|Female|97581|Other
Human Resources|Group D|Full Time|Divorced|39|New York City|06/28/2014|Active|7|18|2 Years|1 Year|Bachelor|Medium|High|Excellent|Very High|Bad|Mcbride|Female|112851|Other
Asset Management|Group A|Part Time|Single|45|New York City|05/13/2017|Non Active|8|8|1 Year|3 Years|Bachelor|Very High|Low|Low|Medium|Good|Sexton|Female|105484|White Collar
Tech Support|Group A|Part Time|Married|28|Los Angeles|04/11/2017|Non Active|12|14|3 Years|3 Years|Masters|Very High|Very High|Excellent|High|Better|Davenport|Female|90407|White Collar
Legal Department|Group B|Full Time|Married|34|Seattle|06/07/2014|Non Active|1|12|1 Year|1 Year|Doctor|Low|High|Outstanding|Medium|Best|Boyd|Female|100279|White Collar
Public Relations|Group D|Part Time|Married|64|Los Angeles|03/14/2015|Active|11|20|2 Years|2 Years|Bachelor|Low|Medium|Excellent|High|Bad|Rosario|Male|106569|White Collar
Payroll|Group C|Part Time|Married|53|Seattle|11/09/2013|Active|3|6|3 Years|1 Year|Masters|High|Low|Good|Low|Bad|Mccormick|Female|99685|Other
Human Resources|Group D|Part Time|Married|41|Seattle|12/14/2015|Non Active|9|20|1 Year|3 Years|Masters|High|Low|Outstanding|Very High|Bad|Dunn|Male|117346|Blue Collar
Accounting|Group C|Part Time|Married|24|Seattle|12/19/2015|Active|10|17|3 Years|3 Years|Bachelor|Very High|Very High|Excellent|Very High|Better|Green|Female|109429|Other
Asset Management|Group A|Part Time|Divorced|25|New York City|07/22/2018|Non Active|10|9|2 Years|3 Years|Masters|Low|Low|Outstanding|Very High|Better|Flynn|Female|103005|Blue Collar
Tech Support|Group B|Full Time|Married|58|Seattle|11/03/2015|Active|4|15|2 Years|2 Years|Doctor|High|High|Outstanding|Very High|Best|Mercer|Male|99813|White Collar
Legal Department|Group A|Part Time|Married|44|Los Angeles|04/03/2014|Active|1|20|2 Years|2 Years|Masters|Low|High|Excellent|High|Better|Wilkerson|Female|116061|Blue Collar
Asset Management|Group C|Part Time|Divorced|31|Houston|03/02/2017|Non Active|4|15|1 Year|1 Year|Bachelor|Very High|Very High|Good|Low|Better|Doyle|Male|114151|Other
Asset Management|Group B|Full Time|Divorced|47|New York City|11/15/2013|Active|11|6|3 Years|1 Year|Bachelor|High|Medium|Good|Medium|Best|Buckner|Male|84003|Other
Human Resources|Group A|Part Time|Married|55|Los Angeles|12/24/2018|Non Active|4|19|2 Years|2 Years|Masters|Medium|Medium|Low|Low|Good|Newton|Female|73070|Blue Collar
Human Resources|Group A|Full Time|Married|36|Seattle|02/13/2014|Non Active|11|17|2 Years|3 Years|Masters|High|Low|Outstanding|Medium|Good|Wilkins|Male|80084|Other
Advertising|Group A|Part Time|Single|35|Houston|04/29/2018|Non Active|1|10|2 Years|2 Years|Doctor|Very High|Medium|Low|Low|Best|Conrad|Male|112434|White Collar
Public Relations|Group C|Full Time|Single|64|Houston|11/06/2016|Non Active|7|16|1 Year|2 Years|Bachelor|Low|Very High|Good|Medium|Good|Britt|Male|89298|White Collar
Customer Relations|Group B|Full Time|Married|57|Seattle|10/15/2016|Non Active|7|19|3 Years|2 Years|Bachelor|Low|Medium|Excellent|Low|Best|Ruiz|Female|116956|Blue Collar
Quality Assurance|Group B|Full Time|Divorced|40|Seattle|12/03/2018|Non Active|3|17|2 Years|2 Years|College|High|Low|Good|Very High|Good|Gallegos|Female|86781|Blue Collar
Research and Development|Group B|Full Time|Married|54|Houston|11/13/2016|Non Active|10|8|1 Year|1 Year|Doctor|Medium|High|Good|Medium|Good|Collins|Female|108438|White Collar
Human Resources|Group A|Part Time|Single|30|Seattle|11/20/2015|Non Active|9|16|3 Years|3 Years|Masters|Very High|Very High|Excellent|High|Bad|Collier|Female|119286|Other
Public Relations|Group B|Part Time|Divorced|29|Seattle|06/10/2016|Non Active|2|12|3 Years|3 Years|Doctor|Medium|Low|Excellent|Very High|Best|Mccarthy|Male|102660|Blue Collar
Legal Department|Group B|Full Time|Married|34|Seattle|02/15/2015|Active|11|10|2 Years|3 Years|Bachelor|High|High|Outstanding|Low|Bad|Calhoun|Male|102268|White Collar
Quality Assurance|Group D|Full Time|Married|61|Los Angeles|07/28/2016|Active|6|5|1 Year|3 Years|Bachelor|Very High|Medium|Good|High|Better|Hendricks|Male|99756|White Collar
Sales and Marketing|Group B|Full Time|Divorced|28|New York City|11/08/2013|Non Active|7|16|1 Year|3 Years|Masters|Low|High|Low|Low|Best|Oneill|Female|84934|Other
Sales and Marketing|Group A|Part Time|Single|39|New York City|07/26/2015|Non Active|1|8|1 Year|3 Years|Bachelor|Very High|High|Good|Low|Good|Hatfield|Female|103540|Blue Collar
Customer Relations|Group B|Full Time|Married|52|Houston|11/10/2018|Active|7|11|3 Years|3 Years|College|Low|Medium|Good|Low|Bad|Hensley|Female|114572|White Collar
Legal Department|Group B|Part Time|Married|41|New York City|06/22/2014|Non Active|6|11|2 Years|2 Years|College|Medium|Medium|Outstanding|Very High|Bad|Manning|Female|81641|Blue Collar
Finances|Group D|Full Time|Divorced|35|New York City|01/03/2015|Active|7|13|1 Year|2 Years|College|Very High|High|Low|Low|Good|Valencia|Male|88614|Blue Collar
Asset Management|Group B|Full Time|Divorced|27|Los Angeles|02/24/2018|Non Active|12|8|3 Years|3 Years|College|Low|Medium|Good|Medium|Best|Conway|Female|102147|Blue Collar
Advertising|Group D|Full Time|Single|33|Los Angeles|01/12/2017|Active|4|14|3 Years|2 Years|Bachelor|Very High|Low|Excellent|Medium|Better|Whitfield|Female|118814|White Collar
Human Resources|Group D|Full Time|Divorced|45|Houston|08/03/2014|Non Active|11|14|3 Years|1 Year|Bachelor|Low|High|Excellent|Low|Bad|Craft|Male|87879|Blue Collar
Research and Development|Group B|Part Time|Divorced|59|New York City|05/08/2013|Active|11|19|1 Year|1 Year|Masters|Medium|Medium|Good|Very High|Best|Trujillo|Male|107727|Blue Collar
Accounting|Group A|Part Time|Divorced|40|Seattle|11/13/2014|Active|10|19|3 Years|3 Years|Bachelor|High|Medium|Outstanding|Medium|Bad|Valdez|Male|91048|White Collar
